Id,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,HouseAge,TotalArea,QualMetric,TotalBaths,PorchArea,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Somerst,Neighborhood_StoneBr,MSSubClass_30,MSSubClass_50,MSSubClass_60,mansion,SalePriceLog
109,533352170,60,RL,,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4.0,3,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5.0,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4.0,6,Typ,0,Attchd,1976.0,2.0,2.0,475.0,3.0,3.0,Y,0,44,0,0,0,0,0,3,2010,WD ,130500,43,1795.768077,12.454090999999998,2.5,44,0,0,0,0,0,0,0,0,0,0,1,0,11.779128505744886
544,531379050,60,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4.0,3,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5.0,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4.0,8,Typ,1,Attchd,1997.0,2.0,2.0,559.0,3.0,3.0,Y,0,74,0,0,0,0,0,4,2009,WD ,220000,23,2416.8240910000004,13.932604999999999,3.5,74,0,0,0,0,0,0,0,0,0,0,1,0,12.301382825334498
153,535304180,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,4,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3.0,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4.0,5,Typ,0,Detchd,1953.0,1.0,1.0,246.0,3.0,3.0,Y,0,52,0,0,0,0,0,1,2010,WD ,109000,66,1561.509311,10.941737999999999,2.0,52,0,0,1,0,0,0,0,0,0,0,0,0,11.59910316121128
318,916386060,60,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4.0,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3.0,7,Typ,0,BuiltIn,2007.0,3.0,2.0,400.0,3.0,3.0,Y,100,0,0,0,0,0,0,4,2010,WD ,174000,13,1508.138072,10.927709,2.5,100,0,0,0,0,0,0,0,0,0,0,1,0,12.066810578196666
255,906425045,50,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3.0,3,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3.0,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3.0,6,Typ,0,Detchd,1957.0,1.0,2.0,484.0,3.0,3.0,N,0,59,0,0,0,0,0,3,2010,WD ,138500,119,1747.1038899999999,10.371302,2.0,59,0,0,0,0,0,0,0,0,0,1,0,0,11.83862560460953
138,535126040,20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4.0,3,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5.0,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4.0,6,Mod,1,Attchd,1966.0,3.0,2.0,578.0,3.0,3.0,Y,0,0,0,0,0,0,0,6,2010,WD ,190000,53,2645.943029,12.454090999999998,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,12.154779351142624
2827,908186070,180,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3.0,3,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4.0,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3.0,5,Typ,0,Basment,2005.0,3.0,2.0,525.0,3.0,3.0,Y,0,44,0,0,0,0,0,6,2006,New,140000,14,1432.638461,11.727916,3.0,44,1,0,0,0,0,0,0,0,0,0,0,0,11.84939770159144
145,535154050,20,RL,,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3.0,3,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2.0,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3.0,6,Typ,0,Attchd,1959.0,2.0,2.0,531.0,3.0,3.0,Y,0,0,0,0,0,0,0,5,2010,COD,142000,60,1920.537414,10.249402,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.863582336583399
1942,535353130,20,RL,,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,3,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3.0,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3.0,6,Typ,0,Detchd,1952.0,1.0,1.0,420.0,3.0,3.0,Y,0,324,0,0,0,0,400,6,2007,WD ,112500,67,1498.303212,10.249402,1.0,324,0,0,0,0,0,1,0,0,0,0,0,0,11.630708500626612
1956,535426130,60,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3.0,3,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3.0,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2.0,9,Typ,2,Attchd,1969.0,1.0,2.0,504.0,3.0,3.0,Y,335,0,0,0,0,0,0,9,2007,WD ,135000,50,2431.6571200000003,10.235373,2.5,335,0,0,1,0,0,0,0,0,0,0,1,0,11.813030057420567
